Music Rehearsal Space_rank,Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
,5,Seven one four recording studio (Estudio De Grabacion),(714) 713-8762,"Santa Ana, CA 92704",,"Santa Ana, CA",2024-01-23 20:25:26,,,TollFree:  (888) 471-4714,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/santa-ana-ca/mip/seven-one-four-recording-studio-estudio-de-grabacion-17870853,
,6,JRM Productions,(714) 444-3039,"2950 W Central Ave, Santa Ana, CA 92704",,"Santa Ana, CA",2024-01-23 20:25:27,South Harbor,,,,"Recording Service-Sound & Video, Audio-Visual Production Services, Recording Studio Equipment, Studio Rental",,,,,,http://www.yellowpages.com/santa-ana-ca/mip/jrm-productions-10609066,https://i2.ypcdn.com/blob/aae0f42844946d64fc630c69f93b5a7778235b25_228x168_crop.jpg
,7,Hybrid Studios,(714) 850-1499,"3021 S Shannon St, Santa Ana, CA 92704",http://www.hybridstudiosca.com,"Santa Ana, CA",2024-01-23 20:25:27,South Harbor,info@hybridstudiosca.com,Phone:  (714) 850-1495 Phone:  (714) 850-1478,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",Regular Hours,"Parking: Street, Lot","Mon - Fri: 9:00 am - 6:00 pm, Sat - Sun Closed",,,http://www.yellowpages.com/santa-ana-ca/mip/hybrid-studios-480216831,https://i4.ypcdn.com/blob/7e21006d31934c1e07844d1f6887b73db4ffd369_228x168_crop.jpg
,8,Orange County Production House,(714) 850-1498,"3021 S Shannon St Suite B, Santa Ana, CA 92704",,"Santa Ana, CA",2024-01-23 20:25:27,,,,,"Recording Service-Sound & Video, Music Producers, Production Companies-Film, TV, Radio, Etc, Recording Studio Equipment, Stages",,,,,,http://www.yellowpages.com/santa-ana-ca/mip/orange-county-production-house-525110942,
,9,Edifice Productions,(818) 724-7471,"501 N Main St, Santa Ana, CA 92701",https://edificeproductions.business.site,"Santa Ana, CA",2024-01-23 20:25:27,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/santa-ana-ca/mip/edifice-productions-534988540,
,10,Promo Only,(949) 273-5401,"1630 S Elk Ln, Santa Ana, CA 92705",https://promoonly.com,"Santa Ana, CA",2024-01-23 20:25:27,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/santa-ana-ca/mip/promo-only-521287701,
,11,Sound Matrix Studios,(714) 437-9585,"2923 W Pendleton Ave, Santa Ana, CA 92704",,"Santa Ana, CA",2024-01-23 20:25:27,,,,,"Recording Service-Sound & Video, Video Production Services",,,,,,http://www.yellowpages.com/santa-ana-ca/mip/sound-matrix-studios-551523479,
,12,Good Rockin Tonight,(949) 833-1899,"1921 E Alton Ave, Santa Ana, CA 92705",,"Santa Ana, CA",2024-01-23 20:25:27,Freeway Corporate,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/santa-ana-ca/mip/good-rockin-tonight-20521380,
,13,Stancil Corp,(714) 546-2002,"2644 S Croddy Way, Santa Ana, CA 92704",http://www.stancilcorp.com,"Santa Ana, CA",2024-01-23 20:25:27,South Harbor,info@stancilcorp.com,Phone:  (714) 546-2091 Fax:  (714) 546-2092 TollFree:  (800) 290-4103,,Recording Service-Sound & Video,Regular Hours,,Mon - Fri: 8:00 am - 5:00 pm,,,http://www.yellowpages.com/santa-ana-ca/mip/stancil-corp-461762264,https://i1.ypcdn.com/blob/6012569376bb7148dbc151e1f63bfa48fa88df1e_228x168_crop.jpg
,14,Elsewhere Studios,(714) 878-9899,"3012 S Croddy Way, Santa Ana, CA 92704",https://www.elsewherestudios.com,"Santa Ana, CA",2024-01-23 20:25:27,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/santa-ana-ca/mip/elsewhere-studios-512706590,
,15,So Cal Records,(714) 585-1980,"Santa Ana, CA 92703",,"Santa Ana, CA",2024-01-23 20:25:27,,mencino@live.com,Phone:  (714) 610-7530,,"Recording Service-Sound & Video, Music Instruction-Instrumental, Music Producers, Musical Instruments, Musicians",Regular Hours,,"Mon - Fri: 7:00 am - 3:30 pm, Sat - Sun Closed",Records of the So Cal,,http://www.yellowpages.com/santa-ana-ca/mip/so-cal-records-453929375,
,16,Sound Asylum,(714) 402-9111,"2800 S Main St, Santa Ana, CA 92707",http://www.sound-asylum.com,"Santa Ana, CA",2024-01-23 20:25:27,Southeast Industrial District,miketroolines@gmail.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Lot,Mon - Sun: 12:00 am - 11:59 pm,,,http://www.yellowpages.com/santa-ana-ca/mip/sound-asylum-9565728,https://i4.ypcdn.com/blob/f8365b65ff4e7b42902563f05ceb4ef30d83f121_228x168_crop.jpg
,17,Reliable Media Services,(714) 558-9193,"1360 E Edinger Ave, Santa Ana, CA 92705",http://www.reliablemediaservices.com,"Santa Ana, CA",2024-01-23 20:25:27,Southeast Industrial District,frank@reliablemediaservices.com,,,Recording Service-Sound & Video,,Services: Repair Screens,,,,http://www.yellowpages.com/santa-ana-ca/mip/reliable-media-services-14814069,
,18,Lockout Music Studios,(714) 716-5002,"320 French St, Santa Ana, CA 92701",https://www.lockoutmusicstudios.com,"Santa Ana, CA",2024-01-23 20:25:27,,,Phone:  (714) 361-5220,,"Music Instruction-Instrumental, Musicians, Recording Service-Sound & Video",Regular Hours,,Mon - Sun: Open 24 Hours,,"Located in the recently renovated Historic Mussleman building, our original Santa Ana location is in the middle of all the Downtown Santa Ana nightlife action. Lockout Music Studios is a unique 24-hour musical rehearsal space located in Orange County that provides musicians with a place to practice, perform, and record their music at any time. It is equipped with top-of-the-line facilities and soundproof walls to ensure a comfortable and professional experience for musicians. This studio offers a variety of rooms of different sizes and is designed to give a warm, inviting atmosphere, enabling musicians to congregate, work together, and develop new music with ease.",http://www.yellowpages.com/santa-ana-ca/mip/lockout-music-studios-507254636,
,19,Gemini Studios,(714) 545-2289,"3012 Halladay St, Santa Ana, CA 92705",http://www.geministudios.com,"Santa Ana, CA",2024-01-23 20:25:27,MacArthur Place - Hutton Centre,david.palmer@recess-studios.com,TollFree:  (800) 735-8099,,"Studio Rental, Recording Service-Sound & Video",Regular Hours,Parking: Lot,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/santa-ana-ca/mip/gemini-studios-927242,https://i4.ypcdn.com/blob/a9804928955dce9d71e83e0b343065f7c78ba75a_228x168_crop.jpg
,20,Green Sound Technology,(949) 387-8923,"8697 Research Dr, Irvine, CA 92618",http://www.gstspeakers.com,"Santa Ana, CA",2024-01-23 20:25:27,Irvine Research Center,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/irvine-ca/mip/green-sound-technology-461844146,
,21,Audiovision Production Services,(714) 731-8883,"14731 Franklin Ave, Tustin, CA 92780",http://www.audiovisionps.com,"Santa Ana, CA",2024-01-23 20:25:27,Tustin,info@audiovisionps.com,TollFree:  (888) 731-8883,,"Recording Service-Sound & Video, Audio-Visual Production Services",Regular Hours,"Parking: Lot, Free, Wheelchair Accessible: Yes","Mon - Fri: 9:00 am - 6:00 pm, Sat - Sun Closed",,"Since 1990, AudioVision has been providing top quality Audio Production and Post-production services for corporate and entertainment clients.",http://www.yellowpages.com/tustin-ca/mip/audiovision-production-services-5933403,https://i3.ypcdn.com/blob/fc6cf30b1833b3c05b9f20cb31b0d27a59db8ca2_228x168_crop.jpg
,22,ReAmp Recording Studios,(949) 390-9876,"15441 Red Hill Ave Ste G, Tustin, CA 92780",,"Santa Ana, CA",2024-01-23 20:25:27,,,,,Recording Service-Sound & Video,Regular Hours,,Mon - Sat: 10:00 am - 9:00 pm,,,http://www.yellowpages.com/tustin-ca/mip/reamp-recording-studios-530926257,
,23,Biz Media,(949) 558-9556,"2575 Mccabe Way, Irvine, CA 92614",http://melodystudios.com,"Santa Ana, CA",2024-01-23 20:25:27,Irvine Business Complex,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/irvine-ca/mip/biz-media-526098798,
,24,Green Tears,(949) 394-7674,"88 Havenwood, Irvine, CA 92614",http://greentears.com/wh,"Santa Ana, CA",2024-01-23 20:25:27,Woodbridge,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/irvine-ca/mip/green-tears-463214106,
,25,Cassette Express,(714) 259-1201,"2650 Walnut Ave, Tustin, CA 92780",,"Santa Ana, CA",2024-01-23 20:25:27,Tustin,lee@cassettexpress.com,,,"CD's, Records & Tapes-Wholesale & Manufacturers, Music Stores, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/tustin-ca/mip/cassette-express-468835569,
,26,Dancing Keys Music Studio,(949) 734-3567,"4672 Barranca Pkwy, Irvine, CA 92604",http://www.dancingkeys.com,"Santa Ana, CA",2024-01-23 20:25:27,Woodbridge,info@dancingkeys.com,Phone:  (714) 342-6758,,"Music Instruction-Instrumental, Music Instruction-Vocal, Music Schools, Recording Service-Sound & Video",Regular Hours,"Parking: Lot, Bike Parking: Yes","Mon - Thu: 2:00 pm - 7:30 pm, Fri: 2:00 pm - 6:30 pm, Sat: 9:00 am - 2:00 pm, Sun Closed",,,http://www.yellowpages.com/irvine-ca/mip/dancing-keys-music-studio-478578288,
,27,Freshstart Music Studio,(949) 407-9833,"5400 Trabuco Rd Ste 120, Irvine, CA 92620",http://www.irvinepianostudio.com,"Santa Ana, CA",2024-01-23 20:25:27,,staff@irvinepianostudio.com,,,"Music Schools, Art Instruction & Schools, Music Instruction-Instrumental, Piano Parts & Supplies, Recording Service-Sound & Video",Regular Hours,,"Mon - Fri: 2:00 pm - 8:00 pm, Sat: 9:00 am - 2:00 pm",,,http://www.yellowpages.com/irvine-ca/mip/freshstart-music-studio-552584445,https://i4.ypcdn.com/blob/c101c46e7f5246e8758ea6605fb0c1c7697b521e_228x168_crop.jpg
,28,Spotlight School of Music,(714) 539-4041,"9891 Irvine Center Dr Ste 110, Irvine, CA 92618",http://spotlightschool.com,"Santa Ana, CA",2024-01-23 20:25:27,Irvine Research Center,spotlightschool@spotlightschool.com,,,"Music Instruction-Vocal, Musical Instruments, Musicians, Pianos & Organs, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/irvine-ca/mip/spotlight-school-of-music-497652327,
,29,Melody Makers Inc.,(949) 585-9369,"Irvine, CA 92618",,"Santa Ana, CA",2024-01-23 20:25:27,,info@melodymakersnb.com,MobilePhone:  (949) 423-5710,,"Dancing Instruction, Children's Party Planning & Entertainment, Music Instruction-Instrumental, Music Instruction-Vocal, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/irvine-ca/mip/melody-makers-inc-472220638,
,30,Signal Transport,(714) 641-5665,"1320 E Saint Andrew Pl, Santa Ana, CA 92705",http://www.sigt.com,"Santa Ana, CA",2024-01-23 20:25:16,Southeast Industrial District,,,,Recording Studio Equipment,,,,,,http://www.yellowpages.com/santa-ana-ca/mip/signal-transport-22838348,https://i1.ypcdn.com/blob/04f75aa736fa1eb864ed84dd0bee8418e1facfb3_228x168_crop.jpg
,2,K Note Productions Inc,(515) 265-4419,"Des Moines, IA 50316",,"Des Moines, IA",2024-01-23 20:25:25,,,,,"Recording Service-Sound & Video, Audio-Visual Production Services",Regular Hours,,"Mon - Fri: 9:00 am - 5:00 pm, Sat - Sun Closed",,,http://www.yellowpages.com/des-moines-ia/mip/k-note-productions-inc-24447622,
,3,The Sonic Factory,(515) 277-6302,"1159 24th St Ste K, Des Moines, IA 50311",http://www.sonicfactorystudios.com,"Des Moines, IA",2024-01-23 20:25:25,"Drake, Drake Park",sonicfactorystudios@gmail.com,,,"Recording Service-Sound & Video, Audio-Visual Production Services",,Parking: Lot,,,,http://www.yellowpages.com/des-moines-ia/mip/the-sonic-factory-1854678,https://i1.ypcdn.com/blob/943ebc351ec364cb7528e7cff920bfaabec4ec9a_228x168_crop.jpg
,4,Associate Producers Inc,(515) 285-1209,"6545 Bloomfield Rd, Des Moines, IA 50320",http://www.aproducers.com,"Des Moines, IA",2024-01-23 20:25:25,Easter Lake Area,bhufstader@qwest.net,,,"Video Production Services, Computer Software & Services, Motion Picture Film Services, Recording Service-Sound & Video, Video Tape Editing Service",Regular Hours,,"Mon - Fri: 8:30 am - 5:30 pm, Sat: 8:30 am - 12:00 pm, Sun Closed",,,http://www.yellowpages.com/des-moines-ia/mip/associate-producers-inc-9250940,
,5,Galaxy Music International,(515) 599-1472,"699 Walnut St Suite 400, 4th F, Des Moines, IA 50309",,"Des Moines, IA",2024-01-23 20:25:25,,,,,"Music Producers, Music Arrangers & Composers, Music Publishers & Distribution, Recording Service-Sound & Video, Wedding Music & Entertainment",,,,,,http://www.yellowpages.com/des-moines-ia/mip/galaxy-music-international-541837806,
,6,Triad Productions,(515) 243-2125,"2120 Rittenhouse St Ste C, Des Moines, IA 50321",https://www.triadav.com/contact,"Des Moines, IA",2024-01-23 20:25:25,,,Fax:  (515) 243-2055,,"Audio-Visual Production Services, Audio-Visual Creative Services, Audio-Visual Equipment, Recording Service-Sound & Video, Sound Systems & Equipment",Regular Hours,,Mon - Fri: 8:00 am - 5:00 pm,,,http://www.yellowpages.com/des-moines-ia/mip/triad-productions-548540974,
,7,Crystal Sound,(515) 276-1990,"4025 Greenview Dr, Urbandale, IA 50322",http://www.crystalsoundrecording.com,"Des Moines, IA",2024-01-23 20:25:26,,keith@crystalsoundrecording.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/urbandale-ia/mip/crystal-sound-462197007,
,8,Radio Garage Productions,(515) 252-1535,"4800 Corporate Dr, West Des Moines, IA 50266",,"Des Moines, IA",2024-01-23 20:25:26,,,,,"Recording Service-Sound & Video, Studio Rental",,,,,,http://www.yellowpages.com/west-des-moines-ia/mip/radio-garage-productions-6995664,
,9,Radio Garage Productions,(515) 252-1535,"3028 104th St, Urbandale, IA 50322",http://www.radiogarage.com,"Des Moines, IA",2024-01-23 20:25:26,,voices@radiogarage.com,Phone:  (515) 251-8973,,"Recording Studio Equipment, Recording Service-Sound & Video",,Parking: Lot,,null,null,http://www.yellowpages.com/urbandale-ia/mip/radio-garage-productions-472098476,https://i4.ypcdn.com/blob/66af38250cc49e5cef5a4f9697474cfcab900e36_228x168_crop.jpg
,10,Kay Snyder Voice Overs,(515) 661-3484,,,"Des Moines, IA",2024-01-23 20:25:26,,kaysnydervo@gmail.com,,,"Communications Services, Commercials-Radio & Television, Recording Service-Sound & Video, Voice Mail, Messaging Systems & Services",,,,,"Voice attributes: friendly, professional, wry, inviting and real Voice Range: 30-50 year old female Professional recording studio onsite Fast production time Non-union",http://www.yellowpages.com/nationwide/mip/kay-snyder-voice-overs-462555325,
,11,DJ Anwar CTR & Studios,(515) 619-9748,"2901 Douglas Ave, Des Moines, IA 50310",,"Des Moines, IA",2024-01-23 20:25:23,,,,,Recording Studio Equipment,,,,,,http://www.yellowpages.com/des-moines-ia/mip/dj-anwar-ctr-studios-517156209,
,12,Kunzler Studios,(515) 279-0322,"324 5th St, West Des Moines, IA 50265",https://www.kunzlerstudios.com/contact-us,"Des Moines, IA",2024-01-23 20:25:26,,,,,Studio Rental,Regular Hours,,Tue - Sat: 10:00 am - 5:00 pm,,,http://www.yellowpages.com/west-des-moines-ia/mip/kunzler-studios-541756212,
,13,Living Sound Studio,(515) 961-7180,"1300 N 14th St, Indianola, IA 50125",,"Des Moines, IA",2024-01-23 20:25:26,,info@livingsoundstudio.com,,,"Studio Rental, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/indianola-ia/mip/living-sound-studio-12654069,
,14,The Studio,(515) 238-9972,"104 W 1st Ave, Indianola, IA 50125",http://www.thestudioindianola.com,"Des Moines, IA",2024-01-23 20:25:26,,julia.foster@mchsi.com,,,Studio Rental,,Parking: Lot,,,,http://www.yellowpages.com/indianola-ia/mip/the-studio-457220486,
30,,In Vaudio,(714) 309-3029,"10131 Brier Ln, Santa Ana, CA 92705",,"Santa Ana, CA",2024-01-23 20:25:27,,,,,Studio Rental,,,,,,http://www.yellowpages.com/santa-ana-ca/mip/in-vaudio-31025863,
,2,Cypher Sound Studios,(816) 931-9042,"3600 Main St, Kansas City, MO 64111",,"Kansas City, MO",2024-01-23 20:26:21,"Midtown, Hanover Place",cyphersound@gmail.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Lot,"Mon - Wed: 8:00 am - 5:00 pm, Fri: 8:00 am - 5:00 pm",,,http://www.yellowpages.com/kansas-city-mo/mip/cypher-sound-studios-12833838,
,3,JTL Group,(262) 498-1555,"Various Locantions, Kansas City, MO 64114",http://www.jtlgroup.org,"Kansas City, MO",2024-01-23 20:26:21,,jtlgroupinfo@gmail.com,MobilePhone:  (262) 498-1555,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",Regular Hours,,"Mon - Sat: Open 24 Hours, Sun Closed",We Produce People Not Just Music.,"We are a group of talented and experienced producers, engineers, artists, designers and musicians serving all you industry need. Our services include recording, mixing, mastering, session musicians,writing, production, artistdevelopment, management, marketing and more.",http://www.yellowpages.com/kansas-city-mo/mip/jtl-group-470240707,https://i2.ypcdn.com/blob/ef476125e0a870aef6398f870554608c81606d55_228x168_crop.jpg
,4,Evolution Audio,(816) 561-0423,"515 W 39th St, Kansas City, MO 64111",http://www.evolutionaudio.com,"Kansas City, MO",2024-01-23 20:26:21,"Midtown, Old Westport",greg@evolutionaudiovisual.com,TollFree:  (888) 833-8191,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/kansas-city-mo/mip/evolution-audio-854186,https://i2.ypcdn.com/blob/2b7c417a62b9c3386410814e086ac63b8265cd62_228x168_crop.jpg
,5,Neva Nervous Entertainment/Recordings,(816) 442-8849,"10413 Blue Ridge Blvd, Kansas City, MO 64134",https://go.thryv.com/site/NevaNervousEntertainmentRecordings,"Kansas City, MO",2024-01-23 20:26:21,,,,,Recording Service-Sound & Video,Regular Hours,,"Mon: 9:00 am - 5:00 pm, Tue: 11:00 am - 11:30 pm, Wed - Sat: 9:00 am - 5:00 pm",,Put A Cease To Stress and Seek Success!,http://www.yellowpages.com/kansas-city-mo/mip/neva-nervous-entertainment-recordings-562873953,https://i4.ypcdn.com/blob/dd834a48f391eefd483ff4204581e24d0fc2dd6f_228x168_crop.jpg
,6,Audio Cave Recording Studio,(816) 223-4422,"5636 N Ames Ave, Kansas City, MO 64151",http://www.audiocaverecording.com,"Kansas City, MO",2024-01-23 20:26:21,"Line Creek - Northern Heights, Northland",,,,"Recording Service-Sound & Video, Recording Studio Equipment",Regular Hours,,"Mon - Fri: 9:00 am - 9:00 pm, Sat - Sun: 9:00 am - 10:00 pm",,,http://www.yellowpages.com/kansas-city-mo/mip/audio-cave-recording-studio-532704303,
,7,Revolution Records,(816) 399-4849,"1830 Locust St, Kansas City, MO 64108",http://www.revolutionrecordskc.com,"Kansas City, MO",2024-01-23 20:26:21,"Hospital Hill, Downtown Kansas City",revolutionrecordskc@gmail.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,Parking: Street,"Mon - Sat: 11:00 am - 7:00 pm, Sun: 12:00 pm - 6:00 pm",,,http://www.yellowpages.com/kansas-city-mo/mip/revolution-records-519930608,
,8,64111 Studio,(816) 841-9312,"1703 Summit St, Kansas City, MO 64108",,"Kansas City, MO",2024-01-23 20:26:21,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/kansas-city-mo/mip/64111-studio-460730351,
,9,Soundtrek,(816) 931-8735,"3727 Broadway Blvd, Kansas City, MO 64111",,"Kansas City, MO",2024-01-23 20:26:21,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/kansas-city-mo/mip/soundtrek-1954512,
,10,Eskimo Productionz,(816) 668-1304,"Kansas City, MO 64128",http://epbeatz.com,"Kansas City, MO",2024-01-23 20:26:21,,hueb@epbeatz.net,,,Recording Service-Sound & Video,,,,The coldest beats and producer of them ALL.,"YOU CAN email directly to HUEB@EPBEATZ. NET. Or USE the form BELOW. QUESTIONS often asked 
- exclusive beats: ALL beats which are on lease are NOT available in EXCLUSIVE. TAG EPBEATZ. COM 
 
 
 
VOICE is just an additional sound to protect ALL songs of the copyright. It won't BE on the track if YOU BUY the beats.",http://www.yellowpages.com/kansas-city-mo/mip/eskimo-productionz-506455348,
,11,Element Kansas City Recording Studio,(913) 645-5961,"1007 W 24th St, Kansas City, MO 64108",http://www.elementrecordingstudios.com,"Kansas City, MO",2024-01-23 20:26:21,"Downtown Kansas City, Westside South",elementrecordingstudios@hotmail.com,,,"Recording Service-Sound & Video, Recording Studio Equipment, Studio Rental",Regular Hours,Parking: Street,Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/kansas-city-mo/mip/element-kansas-city-recording-studio-460729454,https://i3.ypcdn.com/blob/f9a0ed73ee197cfea10e04a8adc649b7262ecf61_228x168_crop.jpg
,12,Sky Recording,(816) 283-8795,"9 W 19th St, Kansas City, MO 64108",http://www.skykc.com,"Kansas City, MO",2024-01-23 20:26:21,"Downtown Kansas City, Crossroads",news@sky.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,,http://www.yellowpages.com/kansas-city-mo/mip/sky-recording-1955021,
,13,Anodyne Records,(816) 531-2129,"1414 Wyoming St, Kansas City, MO 64102",http://www.anodynerecords.com,"Kansas City, MO",2024-01-23 20:26:21,"Central Industrial District, Downtown Kansas City",,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/kansas-city-mo/mip/anodyne-records-12742211,
,14,Wheeler Audio,(816) 221-9200,"1925 Central St, Kansas City, MO 64108",https://wheeleraudio.com/contact-us,"Kansas City, MO",2024-01-23 20:26:21,"Downtown Kansas City, Crossroads",bookkeeping@wheeleraudio.com,,,"Recording Service-Sound & Video, Studio Rental",Regular Hours,,Mon - Sun: Open 24 Hours,,"Jim Wheeler We are a post production recording studio that specializes in innovative sound design. Seasoned with over two decades of experience, we're mainly known for our radio and television commercial work, but we also produce audio for multimedia, industrial or film projects and record original music. Keeping your project in budget has never been easier! We can prepare an estimate at a flat bid or an hourly rate. We're also one of the few studios in town that has all-inclusive rates so you won't be smacked with unexpected costs after the session for sound effects, bouncing, archiving or your first CD. It doesn't matter if your talent is local or lives in another country ; our two ISDN codecs can connect with extraordinary clarity to anywhere in the world. The sound effects collection reaches far and wide with our designers constantly dropping in their latest creations, and the music libraries cover every genre known to man. If your budget allows for original music, we can connect you to talented musicians and composers who'll formulate a remarkable track unique to your brand. Deana Winter, ( KCAI grad 2002 ) was showing her fibers and mixed-media exhibit, previously shown at the Metropolitan Arts Council of Kansas City.",http://www.yellowpages.com/kansas-city-mo/mip/wheeler-audio-714419,https://i4.ypcdn.com/blob/8c420391eb0c8c478e9b7239cedb2ae033994620_228x168_crop.jpg
,15,Chapman Recording,(816) 842-6854,"1703 Wyandotte St, Kansas City, MO 64108",,"Kansas City, MO",2024-01-23 20:26:21,"Crossroads, Downtown Kansas City",C.Chapman@chapmanrecording.com,Phone:  (816) 842-3086,,"Recording Service-Sound & Video, Audio-Visual Production Services",,,,,,http://www.yellowpages.com/kansas-city-mo/mip/chapman-recording-21916990,
,16,Digital Milk,(816) 979-1716,"208 W 19th St, Kansas City, MO 64108",,"Kansas City, MO",2024-01-23 20:26:21,"Downtown Kansas City, Crossroads",,MobilePhone:  (913) 940-8257 MobilePhone:  (913) 271-3441,,"Recording Service-Sound & Video, Video Production Services, Video Production Services-Commercial, Video Tape Editing Service, Web Site Design & Services",Regular Hours,,Mon - Fri: 8:00 am - 5:00 pm,,,http://www.yellowpages.com/kansas-city-mo/mip/digital-milk-464706529,
,17,C R Sound,(816) 756-3575,"3727 Broadway Blvd, Kansas City, MO 64111",,"Kansas City, MO",2024-01-23 20:26:21,,,,,Recording Service-Sound & Video,Regular Hours,"Parking: Lot, Free, Wheelchair Accessible: Yes","Mon - Fri: 8:30 am - 5:00 pm, Sat - Sun Closed",,,http://www.yellowpages.com/kansas-city-mo/mip/c-r-sound-2857951,
,18,Modern Guitar Instruction with Chris Minshall,(913) 709-4775,"811 W 89th Ter, kansas city, MO 64114",,"Kansas City, MO",2024-01-23 20:26:21,,guitarpickguy@gmail.com,,,"Recording Service-Sound & Video, Guitars & Amplifiers, Music Instruction-Instrumental, Music Producers, Wedding Music & Entertainment",,"Parking: Lot, Free, Wheelchair Accessible: Yes",,,,http://www.yellowpages.com/kansas-city-mo/mip/modern-guitar-instruction-with-chris-minshall-474918854,
,19,The Mobile Recording Co.,(816) 210-9411,"Kansas City, MO 64188",,"Kansas City, MO",2024-01-23 20:26:21,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/kansas-city-mo/mip/the-mobile-recording-co-13673445,
,20,10th Story Entertainment,(816) 382-1655,"7219 Prospect Ave, Kansas City, MO 64132",,"Kansas City, MO",2024-01-23 20:26:21,"Noble and Gregory Ridge, South Kansas City",tenthstoryent@yahoo.com,Cell:  (816) 977-3377,,"Record Labels, Recording Service-Sound & Video",Regular Hours,,Mon - Sun: Open 24 Hours,,"We offer beats, recording, purchasing and distributing marketing material and ordering cd's for customers.",http://www.yellowpages.com/kansas-city-mo/mip/10th-story-entertainment-22667575,
,21,825 Studios,(816) 561-1622,"825 Westport Rd, Kansas City, MO 64111",http://825studios.com,"Kansas City, MO",2024-01-23 20:26:21,"Midtown, Old Westport",info@825studios.com,,,"Motion Picture Film Services, Advertising-Broadcast & Film, Music Producers, Production Companies-Film, TV, Radio, Etc, Recording Service-Sound & Video",Regular Hours,Parking: Lot,Mon - Sun: Open 24 Hours,"Film, music & advertising services for artists/bands, actors, models, and businesses.",,http://www.yellowpages.com/kansas-city-mo/mip/825-studios-506000349,https://i3.ypcdn.com/blob/679c6c985c21d0971c33463fe9a6f03b4d4fae8a_228x168_crop.jpg
,22,Show-Me Live Event Production,(816) 358-8700,"4501 Blue Ridge Cut Off, Kansas City, MO 64133",,"Kansas City, MO",2024-01-23 20:26:21,"East Side, Riss Lake, Sterling Acres",ron@showmeav.com,TollFree:  (866) 284-6999,,"Motion Picture Film Services, CD, DVD & Cassette Duplicating Services, Party Supply Rental, Recording Service-Sound & Video",Regular Hours,Parking: Lot,Mon - Sun: Open 24 Hours,For all of your audio visual needs.,"For over 35 years, Show-Me Audio Visual has been serving the state of Missouri with the best rental audio visual equipment available.  We specialize in Rental, Sales, Service, Production and Installation of all A/V equipment.  We can't wait to help you.  Call or visit our web site.",http://www.yellowpages.com/kansas-city-mo/mip/show-me-live-event-production-566996042,
,23,Recording Studio,(816) 561-1622,"825 Westport Rd, Kansas City, MO 64111",http://www.825studios.com,"Kansas City, MO",2024-01-23 20:26:22,"Midtown, Old Westport",cyphersound@gmail.com,,,"Studio Rental, Recording Service-Sound & Video",Regular Hours,"Wheelchair Accessible: Yes, Parking: Lot, Valet",Mon - Sun: Open 24 Hours,,,http://www.yellowpages.com/kansas-city-mo/mip/recording-studio-504083930,
,24,"Saunders Street Records, LLC",(816) 607-1041,"PO Box 140387, Kansas City, MO 64114",,"Kansas City, MO",2024-01-23 20:26:22,,info@saundersstreetrecords.com,,,"Music Publishers & Distribution, Music Instruction-Instrumental, Music Producers, Record Labels, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/kansas-city-mo/mip/saunders-street-records-llc-464681940,
