Recording Studio_rank,name,phone,address,website,location,search_datetime,neighborhood,email,extra_phones,social_links,categories,hour_category,other_info,detailed_hours,slogan,general_info,yp_url,space_image
21,Edge Media Studios,(317) 942-3689,"1317 North Pennsylvania Street, Suite B, Indianapolis, IN 46202",http://edgemedia.studio,"Indianapolis, IN",2024-01-24 08:22:07,,,Phone:  (317) 882-8500,,"Studio Rental, Recording Service-Sound & Video",Regular Hours,,Mon - Fri: 9:00 am - 5:00 pm,,"EDGE Media Studios is a specialized Indianapolis podcast recording studio where you can build the brand of your business using effective podcast marketing. With the rise in popularity of free and paid podcast networks during the last 10 years, digital broadcasting channels have outpaced traditional online radio platforms five fold. An estimated 98 million in the U.S. alone listen to podcasts on a weekly basis. Creating a custom podcast with regular frequency to reach targeted audiences has become a top marketing tool. Our team of male and female voice over talents help anchor your audio and video imaging. Customized scripting and direction from our audio and video production directors consistently deliver professional digital broadcasting content. Our media team has decades of creative collaboration experience.EDGE Media Studios offers state-of-the-art audio and video recording services for today's New Media broadcasting. Featuring a fully customizable studio for brand authority, our Indianapolis recording studio is capable of live stream Facebook and LiveStream multi-angle produced video broadcasts. Our team of audio producers provide top quality podcast production and podcast aggregation. Social media and search engine amplification helps audience awareness and brand authority.",http://www.yellowpages.com/indianapolis-in/mip/edge-media-studios-533141558,"https://i1.ypcdn.com/blob/fa40b76fa303f34a9f7165606406c3061b3fac53_573x422_crop.jpg, https://i3.ypcdn.com/blob/de7dfe708df35346a6e846206b14946d1c7b8a14_475x422_crop.jpg, https://i4.ypcdn.com/blob/a8f17d21080da2a7084db5c70626a9840c15ab6a_475x422_crop.jpg, https://i1.ypcdn.com/blob/819fc70bf13b645b71ef04c4b521af6fdc754852_475x422_crop.jpg, https://i1.ypcdn.com/blob/592e01714628a206a88e7a024413479595288519_475x422_crop.jpg"
22,PSAV,(317) 423-3145,"50 W Washington St, Indianapolis, IN 46204",http://www.psav.com,"Indianapolis, IN",2024-01-24 08:22:08,Downtown Indianapolis,,,,"Telecommunications Services, Convention Services & Facilities, Designers-Industrial & Commercial, Recording Service-Sound & Video, Telecommunications Consultants, Telecommunications-Equipment & Supply, Video Production Services, Video Production Services-Commercial",,Services: Audio-Visual Equipment Repair,,,,http://www.yellowpages.com/indianapolis-in/mip/psav-9907575,https://i4.ypcdn.com/blob/e61c42828ae27067dec554c5374dc25b692977c4_573x422_crop.jpg
23,Indiana Deposition Services,(317) 757-5453,"3003 Stamm Ave, Indianapolis, IN 46240",http://www.indeposerve.com,"Indianapolis, IN",2024-01-24 08:22:09,Clearwater,IndianaCLVS@gmail.com,,,"Video Production Services, Audio-Visual Production Services, Recording Service-Sound & Video",,,,,,http://www.yellowpages.com/indianapolis-in/mip/indiana-deposition-services-451775604,
24,Obam Entertainment LLC,(513) 371-1732,"8855 Bash St, Indianapolis, IN 46256",,"Indianapolis, IN",2024-01-24 08:22:10,,obamentertainment@gmail.com,,,"Aerial Photographers, Photography & Videography, Portrait Photographers, Recording Service-Sound & Video, Wedding Photography & Videography",Regular Hours,,"Mon - Fri: 9:00 am - 6:00 pm, Sat: 11:00 am - 6:00 pm, Sun: 3:00 pm - 6:00 pm",,,http://www.yellowpages.com/indianapolis-in/mip/obam-entertainment-llc-535469995,
25,M&S Public Relations,(317) 499-9870,"Indianapolis, IN 46235",,"Indianapolis, IN",2024-01-24 08:22:11,,,,,"Record Labels, Recording Service-Sound & Video, Recording Studio Equipment",,,,,,http://www.yellowpages.com/indianapolis-in/mip/m-s-public-relations-567727254,
26,Bongo Boy Music Inc,(317) 595-9065,"8481 Bash St Ste 1100, Indianapolis, IN 46250",http://www.bongoboymusic.com,"Indianapolis, IN",2024-01-24 08:22:12,"Castleton, Hearth Stone",lisa@bongoboymusic.com,,,"Music Instruction-Instrumental, Recording Service-Sound & Video",Regular Hours,"Parking: Lot, Price Range: Average, Good for Kids: Yes","Mon - Thu: 1:30 pm - 9:30 pm, Sat: 9:30 am - 4:00 pm",,"ABOUT BONGO BOY MUSIC SCHOOL Bongo Boy Music School is a private music school located in the Castleton area of Indianapolis. Our goal is to provide the best music instruction in the city of Indianapolis and surrounding areas. Here you will find a safe, professional and creative atmosphere to enhance your musical abilities and establish a solid musical foundation. Our instructors are seasoned live, touring, studio musicians who have years of experience teaching students of all ages. Since being founded in 2003, we made a point to avoid retail sales. Scheduling and payments are handled by our office manager. Therefore, the instructors dedicate the entire lesson to focusing solely on crafting specialized lesson plans based on their students needs and abilities. We teach all styles of music ( classical, jazz, marching/drum corps music, rock, funk, latin, reggae, blues etc ). We offer professional solo & ensemble preparation as well as college audition preparation ( including the ability to record ""live"" video auditions ). Students Bongo Boy Music School have gone onto music schools such as Indiana University, University of North Texas, Berklee School of Music and others. Whether students take lessons purely for recreational purposes or focusing on a career in music, Bongo Boy Music School instructors will provide you with the necessary tools needed to reach your musical goals. Bongo Boy Music School has had and will continue to have many great clinicians in for private teaching, master classes and clinics. This clinician list includes some of todays most inspirational players: ""Remo, Inc. is excited and pleased with our association with Bongo Boy Music. Bongo Boy 's wonderful efforts to foster the use of Recreational Music Making as a part of an individual 's wellness and happiness certainly fits with the ongoing worldwide activities of Remo, Inc Programs such as those being made available by Bongo Boy Music can only help to further the connection of making music and enhancing one 's quality of life"". ""BONGO BOY MUSIC IS THE SCHOOL YOU HAVE BEEN LOOKING FOR!!!! The reason so few drummers ever reach their potential is because so few invest in their education. For a drummer, education begins and ends with private lessons. I highly recommend Bongo Boy Music School to anyone who wants to improve. They are passionate about what they do and have years of wisdom and experience to impart to their students. Rarely have I seen a school with such genuine interest in the success of their students. Bongo Boy Music School has heart and soul and is a class act all the way and it's an honor to be associated with them. Remember, a lack of knowledge is what keeps most people from success. Don't let that happen to you. If you want to further your drumming talent and career, study Bongo Boy Music School today!!"" ""Bongo Boy Music School is a great place of education and experience in the world of drumming. Anybody interested in taking lessons as a beginner or pro, trying to take their drumming to the next level, Bongo Boy Music School is where they belong!!"" ""I am so impressed with what Ed Gaus has done with Bongo Boy Music. Amazing facility for teaching and master classes. Bongo Boy Music also offers the most up to date instruction for drum set, percussion, making loops and other areas of electronics. I have enjoyed doing master classes and private teaching at Bongo Boy Music. I wish I had time to do more: ) "" ""Bongo Boy Music is one of the reasons that Indianapolis is becoming an important center for drum and percussion activity in the U.S.""",http://www.yellowpages.com/indianapolis-in/mip/bongo-boy-music-inc-755940,https://i4.ypcdn.com/blob/6ba3218e14198bee920cd41c8985de82f8bdb6e2_573x422_crop.jpg
27,DD Professional Audio,(832) 445-7421,"5026 Boulevard Pl, Indianapolis, IN 46208",,"Indianapolis, IN",2024-01-24 08:22:13,Central Indianapolis,dorshdeans@gmail.com,,,"Disc Jockeys, Recording Service-Sound & Video",Regular Hours,,Mon - Sun: Open 24 Hours,Professional Audio Producer/DJ,"Professional DJ and Producer offering multiple services. Signed to T.M.G./Bad Boy records. Modest pricing and almost unlimited availability. Able to record, produce, and DJ in professional atmosphere.",http://www.yellowpages.com/indianapolis-in/mip/dd-professional-audio-8407,
28,About Him Recording Studio,(317) 222-6210,,,"Indianapolis, IN",2024-01-24 08:22:14,,abouthimstudio@aol.com,Phone:  (317) 491-0138,,"Recording Service-Sound & Video, CD, DVD & Cassette Duplicating Services",Regular Hours,,"Mon - Sat: 10:30 am - 9:00 pm, Sun Closed",About Him Recording Studio,"About Him Recording Studio is A full service recording studio. Doing cd projects in any style of music. we also do duplications, key changes on your soundtracks or karoake disk.we can build A radio commercial for your Business. or convert your audio tapes to cd's. We guarantee nobody has A better price than About Him Studio and to back that up call us for quote @ 317-222-6210 we also have great quality on every thing we offer.",http://www.yellowpages.com/nationwide/mip/about-him-recording-studio-452135808,
29,Boomtunes Studios,(317) 826-2918,,,"Indianapolis, IN",2024-01-24 08:22:15,,,,,Recording Service-Sound & Video,,,,,,http://www.yellowpages.com/nationwide/mip/boomtunes-studios-10090049,
30,"Heart & Soul Productions, LLC",(317) 753-5397,,,"Indianapolis, IN",2024-01-24 08:22:15,,heartsoul_productions@yahoo.com,Phone:  (317) 833-9139,,"Music Arrangers & Composers, Music Producers, Music-Background & Foreground, Musicians, Recording Service-Sound & Video",Regular Hours,,Mon - Sun: Open 24 Hours,"""Music from the heart; uplifting the soul""","Heart & Soul Productions: For studio recording, live recording, mixing, mastering, original tracks & lyrics, jingles/ theme songs or radio commercials please contact us.",http://www.yellowpages.com/nationwide/mip/heart-soul-productions-llc-233864,
